County,Year,VMT_100M,fatalities,speed_rate,log_speed_rate,distract_rate,log_distract_rate,vru_rate,log_vru_rate,c_speed,c_distract,c_vru
RICHMOND,2024,19.42362,13.0,17.916330735465376,2.8857126285154413,76.65924271582743,4.339370181424976,3.8097944667368906,1.337575241945137,0.06183068277408088,-0.035668120450203844,-0.03236481409843317
ROCKLAND,2019,27.3531,14.0,22.52029934449843,3.114417095567624,43.50512373369015,3.7728787181396792,2.9247142005842117,1.0731967667079858,-0.11917704990838951,0.04920858637654657,-0.0920472814480977
ROCKLAND,2020,22.43946,16.0,24.733215505185953,3.2081470975526085,40.24161009222147,3.6949015372231595,2.852118544742164,1.048062067165846,-0.02544704792340502,-0.028768594539973158,-0.11718198099023747
ROCKLAND,2021,25.12295,16.0,24.479609281553323,3.197840496795891,48.08352522295352,3.872939607484133,2.2688418358512834,0.8192694968239229,-0.03575364868012265,0.14926947572100024,-0.3459745513321606
ROCKLAND,2022,26.7691,20.0,25.81334449047596,3.2508915865241357,48.00310806116006,3.8712657600857856,3.8850764500861064,1.3571426618978382,0.017297441048122142,0.14759562832265294,0.19189861374175465
ROCKLAND,2023,26.86765,19.0,28.175147435670777,3.33844029276648,40.75533215595707,3.7075866815796323,3.721948142096536,1.3142472253171222,0.10484614729046626,-0.016083450183500325,0.14900317716103872
ROCKLAND,2024,27.18282,17.0,26.891985452576296,3.291828303649344,30.644355515726478,3.4224484860664086,3.973097713923721,1.3795460710237855,0.05823415817333055,-0.30122164569672405,0.21430202286770195
SUFFOLK,2019,138.74745,115.0,19.6544152703347,2.9783020087663075,76.49870321941053,4.33727378930856,1.7441761992742932,0.5562823520774055,-0.03986360290130486,0.025059898187845597,0.08643737127919288
SUFFOLK,2020,119.00855999999996,112.0,19.948144906551267,2.993136151872013,69.73447960382012,4.244694881300847,1.4956907301457985,0.40258812699448476,-0.02502945979559934,-0.06751900981986658,-0.06725685380372787
SUFFOLK,2021,129.54215,151.0,22.417413945962764,3.1098380651375903,74.72471315320921,4.313810869463526,1.4667040804865443,0.3830177613533899,0.09167245346997799,0.0015969783428122497,-0.08682721944482275
SUFFOLK,2022,137.3641,162.0,18.72396062726724,2.929804020640657,65.63578111020273,4.184120991002759,1.521503799027548,0.4196991872479581,-0.08836159102695529,-0.12809290011795493,-0.0501457935502545
SUFFOLK,2023,130.3488,155.0,21.035866843423182,3.0462289257690136,82.15649089212941,4.408625854047629,1.7107944223498797,0.5369578371068728,0.028063314101401282,0.0964119629269149,0.06711285630866021
SUFFOLK,2024,126.56646,118.0,21.150943148761527,3.0516844978200925,80.21872461314,4.384756961600963,1.6829103065693707,0.520524620009165,0.03351888615248022,0.07254307048024877,0.050679639210952365
WESTCHESTER,2019,79.93135,30.0,22.769539110749413,3.125423638796988,63.604580680796715,4.152685491035491,1.814056687394871,0.5955656011467213,-0.09296485776230101,0.18740619221214638,-0.03503627580275537
WESTCHESTER,2020,65.49204,44.0,26.201657483871323,3.2658226715092287,50.57103122761178,3.9233789069664713,1.7406695531243186,0.5542698398558163,0.047434174949939845,-0.041900391856873664,-0.07633203709366032
WESTCHESTER,2021,71.9561,42.0,26.14093871124199,3.263502618463383,54.44986595993946,3.9972803876668386,1.6120940406720208,0.47753398026871724,0.04511412190409425,0.03200108884349362,-0.15306789668075943
WESTCHESTER,2022,74.28115,35.0,26.41316134712508,3.273862421800497,50.26847322638382,3.9173781057768564,2.086666671154122,0.7355678985944353,0.0554739252412082,-0.047901193046488544,0.10496602164495861
WESTCHESTER,2023,80.957,39.0,24.87740405400398,3.2139599237618866,49.86597823535951,3.90933897133632,1.889892164976469,0.6365197718758144,-0.004428572797402275,-0.055940327487025154,0.005917894926337763
WESTCHESTER,2024,78.97548,43.0,23.75420826818653,3.1677597050237467,48.98988901365335,3.8916139301580897,2.1905533211067536,0.7841541699553557,-0.05062879153554212,-0.0736653686652553,0.15355229300587903
