"YEAR","Severity Class of Crash","County","Type of Factor","Contributing Factors","Total"
"2020","Personal Injury","BRONX","Crashes With Vehicular Factors","Tow Hitch Defective","1"
"2020","Personal Injury","BRONX","Crashes With Vehicular Factors","Windshield Inadequate","3"
"2020","Personal Injury","BRONX","Crashes With Vehicular Factors","Other Vehicular","384"
"2020","Personal Injury","BRONX","Crashes With Environmental Factors","Animal's Action","4"
"2020","Personal Injury","BRONX","Crashes With Environmental Factors","Glare","36"
"2020","Personal Injury","BRONX","Crashes With Environmental Factors","Lane Marking Improper/Inadequate","7"
"2020","Personal Injury","BRONX","Crashes With Environmental Factors","Obstruction/Debris","13"
"2020","Personal Injury","BRONX","Crashes With Environmental Factors","Pavement Defective","17"
"2020","Personal Injury","BRONX","Crashes With Environmental Factors","Pavement Slippery","116"
"2020","Personal Injury","BRONX","Crashes With Environmental Factors","Shoulders Defective/Improper","."
"2020","Personal Injury","BRONX","Crashes With Environmental Factors","Traffic Control Device Improper/Non-Working","2"
"2020","Personal Injury","BRONX","Crashes With Environmental Factors","View Obstructed/Limited","147"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Aggressive Driving/Road Rage","219"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Alcohol Involvement","254"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Backing Unsafely","225"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Cell Phone (hand held)","25"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Cell Phone (hands-free)","2"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Driver Inattention/Distraction","3,789"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Driver Inexperience","450"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Drugs (Illegal)","24"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Eating or Drinking","5"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Failure to Keep Right","31"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Failure to Yield Right-of-Way","1,918"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Fatigued/Drowsy","33"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Fell Asleep","49"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Following Too Closely","1,331"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Illness","45"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Listening/Using Headphones","3"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Lost Consciousness","63"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Other Electronic Device","4"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Outside Car Distraction","41"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Passenger Distraction","41"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Passing/Lane Changing/Improper Use","1,064"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Pedestrian/Bicyclist Error/Confusion","534"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Physical Disability","14"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Prescription Medication","8"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Reaction to Other Uninvolved Vehicle","213"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Texting","1"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Traffic Control Device Disregarded","856"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Turning Improperly","325"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Unsafe Speed","827"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Using On Board Navigation Device","3"
"2020","Personal Injury","KINGS","Crashes With Human Factors","Other Human","."
"2020","Personal Injury","KINGS","Crashes With Vehicular Factors","Accelerator Defective","8"
"2020","Personal Injury","KINGS","Crashes With Vehicular Factors","Brakes Defective","74"
"2020","Personal Injury","KINGS","Crashes With Vehicular Factors","Driverless/Runaway Vehicle","12"
"2020","Personal Injury","KINGS","Crashes With Vehicular Factors","Headlights Defective","8"
"2020","Personal Injury","KINGS","Crashes With Vehicular Factors","Other Lighting Defects","2"
"2020","Personal Injury","KINGS","Crashes With Vehicular Factors","Oversized Vehicle","37"
"2020","Personal Injury","KINGS","Crashes With Vehicular Factors","Steering Failure","31"
"2020","Personal Injury","KINGS","Crashes With Vehicular Factors","Tinted Windows","8"
"2020","Personal Injury","KINGS","Crashes With Vehicular Factors","Tire Failure/Inadequate","15"
"2020","Personal Injury","KINGS","Crashes With Vehicular Factors","Tow Hitch Defective","."
"2020","Personal Injury","KINGS","Crashes With Vehicular Factors","Windshield Inadequate","."
"2020","Personal Injury","KINGS","Crashes With Vehicular Factors","Other Vehicular","432"
"2020","Personal Injury","KINGS","Crashes With Environmental Factors","Animal's Action","7"
"2020","Personal Injury","KINGS","Crashes With Environmental Factors","Glare","54"
"2020","Personal Injury","KINGS","Crashes With Environmental Factors","Lane Marking Improper/Inadequate","7"
"2020","Personal Injury","KINGS","Crashes With Environmental Factors","Obstruction/Debris","26"
"2020","Personal Injury","KINGS","Crashes With Environmental Factors","Pavement Defective","19"
"2020","Personal Injury","KINGS","Crashes With Environmental Factors","Pavement Slippery","160"
"2020","Personal Injury","KINGS","Crashes With Environmental Factors","Shoulders Defective/Improper","1"
"2020","Personal Injury","KINGS","Crashes With Environmental Factors","Traffic Control Device Improper/Non-Working","5"
"2020","Personal Injury","KINGS","Crashes With Environmental Factors","View Obstructed/Limited","218"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Aggressive Driving/Road Rage","43"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Alcohol Involvement","196"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Backing Unsafely","98"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Cell Phone (hand held)","19"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Cell Phone (hands-free)","3"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Driver Inattention/Distraction","396"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Driver Inexperience","106"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Drugs (Illegal)","33"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Eating or Drinking","1"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Failure to Keep Right","32"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Failure to Yield Right-of-Way","2,335"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Fatigued/Drowsy","24"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Fell Asleep","71"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Following Too Closely","2,151"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Illness","60"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Listening/Using Headphones","."
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Lost Consciousness","66"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Other Electronic Device","5"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Outside Car Distraction","14"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Passenger Distraction","22"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Passing/Lane Changing/Improper Use","1,123"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Pedestrian/Bicyclist Error/Confusion","212"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Physical Disability","7"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Prescription Medication","2"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Reaction to Other Uninvolved Vehicle","201"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Texting","1"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Traffic Control Device Disregarded","562"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Turning Improperly","461"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Unsafe Speed","711"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Using On Board Navigation Device","3"
"2020","Personal Injury","NASSAU","Crashes With Human Factors","Other Human","6"
"2020","Personal Injury","NASSAU","Crashes With Vehicular Factors","Accelerator Defective","5"
"2020","Personal Injury","NASSAU","Crashes With Vehicular Factors","Brakes Defective","35"
"2020","Personal Injury","NASSAU","Crashes With Vehicular Factors","Driverless/Runaway Vehicle","2"
"2020","Personal Injury","NASSAU","Crashes With Vehicular Factors","Headlights Defective","5"
"2020","Personal Injury","NASSAU","Crashes With Vehicular Factors","Other Lighting Defects","3"
"2020","Personal Injury","NASSAU","Crashes With Vehicular Factors","Oversized Vehicle","4"
"2020","Personal Injury","NASSAU","Crashes With Vehicular Factors","Steering Failure","13"
"2020","Personal Injury","NASSAU","Crashes With Vehicular Factors","Tinted Windows","."
"2020","Personal Injury","NASSAU","Crashes With Vehicular Factors","Tire Failure/Inadequate","26"
"2020","Personal Injury","NASSAU","Crashes With Vehicular Factors","Tow Hitch Defective","."
"2020","Personal Injury","NASSAU","Crashes With Vehicular Factors","Windshield Inadequate","1"
"2020","Personal Injury","NASSAU","Crashes With Vehicular Factors","Other Vehicular","52"
"2020","Personal Injury","NASSAU","Crashes With Environmental Factors","Animal's Action","17"
"2020","Personal Injury","NASSAU","Crashes With Environmental Factors","Glare","91"
"2020","Personal Injury","NASSAU","Crashes With Environmental Factors","Lane Marking Improper/Inadequate","1"
"2020","Personal Injury","NASSAU","Crashes With Environmental Factors","Obstruction/Debris","31"
"2020","Personal Injury","NASSAU","Crashes With Environmental Factors","Pavement Defective","7"
"2020","Personal Injury","NASSAU","Crashes With Environmental Factors","Pavement Slippery","350"
"2020","Personal Injury","NASSAU","Crashes With Environmental Factors","Shoulders Defective/Improper","."
"2020","Personal Injury","NASSAU","Crashes With Environmental Factors","Traffic Control Device Improper/Non-Working","19"
"2020","Personal Injury","NASSAU","Crashes With Environmental Factors","View Obstructed/Limited","99"
"2020","Personal Injury","NASSAU","Crashes With Environmental Factors","Other Environmental","1"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Aggressive Driving/Road Rage","94"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Alcohol Involvement","116"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Backing Unsafely","116"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Cell Phone (hand held)","9"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Cell Phone (hands-free)","4"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Driver Inattention/Distraction","2,044"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Driver Inexperience","219"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Drugs (Illegal)","8"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Eating or Drinking","."
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Failure to Keep Right","11"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Failure to Yield Right-of-Way","741"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Fatigued/Drowsy","10"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Fell Asleep","15"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Following Too Closely","610"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Illness","25"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Listening/Using Headphones","2"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Lost Consciousness","27"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Other Electronic Device","1"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Outside Car Distraction","26"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Passenger Distraction","34"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Passing/Lane Changing/Improper Use","660"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Pedestrian/Bicyclist Error/Confusion","490"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Physical Disability","5"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Prescription Medication","1"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Reaction to Other Uninvolved Vehicle","114"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Texting","."
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Traffic Control Device Disregarded","436"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Turning Improperly","180"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Unsafe Speed","364"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Using On Board Navigation Device","4"
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Vehicle Vandalism","."
"2020","Personal Injury","NEW YORK","Crashes With Human Factors","Other Human","."
"2020","Personal Injury","NEW YORK","Crashes With Vehicular Factors","Accelerator Defective","6"
"2020","Personal Injury","NEW YORK","Crashes With Vehicular Factors","Brakes Defective","43"
"2020","Personal Injury","NEW YORK","Crashes With Vehicular Factors","Driverless/Runaway Vehicle","8"
"2020","Personal Injury","NEW YORK","Crashes With Vehicular Factors","Headlights Defective","1"
"2020","Personal Injury","NEW YORK","Crashes With Vehicular Factors","Other Lighting Defects","2"
"2020","Personal Injury","NEW YORK","Crashes With Vehicular Factors","Oversized Vehicle","18"
"2020","Personal Injury","NEW YORK","Crashes With Vehicular Factors","Steering Failure","8"
"2020","Personal Injury","NEW YORK","Crashes With Vehicular Factors","Tinted Windows","6"
"2020","Personal Injury","NEW YORK","Crashes With Vehicular Factors","Tire Failure/Inadequate","9"
"2020","Personal Injury","NEW YORK","Crashes With Vehicular Factors","Tow Hitch Defective","."
"2020","Personal Injury","NEW YORK","Crashes With Vehicular Factors","Windshield Inadequate","."
"2020","Personal Injury","NEW YORK","Crashes With Vehicular Factors","Other Vehicular","314"
"2020","Personal Injury","NEW YORK","Crashes With Environmental Factors","Animal's Action","3"
"2020","Personal Injury","NEW YORK","Crashes With Environmental Factors","Glare","14"
"2020","Personal Injury","NEW YORK","Crashes With Environmental Factors","Lane Marking Improper/Inadequate","5"
"2020","Personal Injury","NEW YORK","Crashes With Environmental Factors","Obstruction/Debris","17"
"2020","Personal Injury","NEW YORK","Crashes With Environmental Factors","Pavement Defective","5"
"2020","Personal Injury","NEW YORK","Crashes With Environmental Factors","Pavement Slippery","94"
"2020","Personal Injury","NEW YORK","Crashes With Environmental Factors","Shoulders Defective/Improper","1"
"2020","Personal Injury","NEW YORK","Crashes With Environmental Factors","Traffic Control Device Improper/Non-Working","4"
"2020","Personal Injury","NEW YORK","Crashes With Environmental Factors","View Obstructed/Limited","110"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Aggressive Driving/Road Rage","2"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Alcohol Involvement","13"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Backing Unsafely","3"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Cell Phone (hand held)","2"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Cell Phone (hands-free)","1"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Driver Inattention/Distraction","41"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Driver Inexperience","9"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Drugs (Illegal)","3"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Eating or Drinking","."
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Failure to Keep Right","17"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Failure to Yield Right-of-Way","71"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Fatigued/Drowsy","14"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Fell Asleep","11"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Following Too Closely","78"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Illness","6"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Lost Consciousness","8"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Other Electronic Device","."
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Outside Car Distraction","1"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Passenger Distraction","."
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Passing/Lane Changing/Improper Use","65"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Pedestrian/Bicyclist Error/Confusion","1"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Physical Disability","4"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Prescription Medication","1"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Reaction to Other Uninvolved Vehicle","13"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Texting","."
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Traffic Control Device Disregarded","12"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Turning Improperly","16"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Unsafe Speed","90"
"2020","Personal Injury","PUTNAM","Crashes With Human Factors","Using On Board Navigation Device","."
"2020","Personal Injury","PUTNAM","Crashes With Vehicular Factors","Accelerator Defective","."
"2020","Personal Injury","PUTNAM","Crashes With Vehicular Factors","Brakes Defective","3"
"2020","Personal Injury","PUTNAM","Crashes With Vehicular Factors","Driverless/Runaway Vehicle","2"
"2020","Personal Injury","PUTNAM","Crashes With Vehicular Factors","Headlights Defective","."
"2020","Personal Injury","PUTNAM","Crashes With Vehicular Factors","Other Lighting Defects","."
"2020","Personal Injury","PUTNAM","Crashes With Vehicular Factors","Oversized Vehicle","1"
"2020","Personal Injury","PUTNAM","Crashes With Vehicular Factors","Steering Failure","1"
"2020","Personal Injury","PUTNAM","Crashes With Vehicular Factors","Tinted Windows","."
"2020","Personal Injury","PUTNAM","Crashes With Vehicular Factors","Tire Failure/Inadequate","5"
"2020","Personal Injury","PUTNAM","Crashes With Vehicular Factors","Tow Hitch Defective","."
"2020","Personal Injury","PUTNAM","Crashes With Vehicular Factors","Windshield Inadequate","."
"2020","Personal Injury","PUTNAM","Crashes With Vehicular Factors","Other Vehicular","2"
"2020","Personal Injury","PUTNAM","Crashes With Environmental Factors","Animal's Action","17"
"2020","Personal Injury","PUTNAM","Crashes With Environmental Factors","Glare","9"
"2020","Personal Injury","PUTNAM","Crashes With Environmental Factors","Lane Marking Improper/Inadequate","."
"2020","Personal Injury","PUTNAM","Crashes With Environmental Factors","Obstruction/Debris","11"
"2020","Personal Injury","PUTNAM","Crashes With Environmental Factors","Pavement Defective","1"
"2020","Personal Injury","PUTNAM","Crashes With Environmental Factors","Pavement Slippery","31"
"2020","Personal Injury","PUTNAM","Crashes With Environmental Factors","Shoulders Defective/Improper","1"
"2020","Personal Injury","PUTNAM","Crashes With Environmental Factors","Traffic Control Device Improper/Non-Working","."
"2020","Personal Injury","PUTNAM","Crashes With Environmental Factors","View Obstructed/Limited","10"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Aggressive Driving/Road Rage","117"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Alcohol Involvement","241"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Backing Unsafely","181"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Cell Phone (hand held)","26"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Cell Phone (hands-free)","3"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Driver Inattention/Distraction","3,686"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Driver Inexperience","461"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Drugs (Illegal)","16"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Eating or Drinking","2"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Failure to Keep Right","28"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Failure to Yield Right-of-Way","1,869"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Fatigued/Drowsy","35"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Fell Asleep","62"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Following Too Closely","1,529"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Illness","60"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Listening/Using Headphones","4"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Lost Consciousness","51"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Other Electronic Device","4"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Outside Car Distraction","41"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Passenger Distraction","30"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Passing/Lane Changing/Improper Use","1,074"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Pedestrian/Bicyclist Error/Confusion","359"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Physical Disability","15"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Prescription Medication","4"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Reaction to Other Uninvolved Vehicle","270"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Texting","2"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Traffic Control Device Disregarded","650"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Turning Improperly","257"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Unsafe Speed","800"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Using On Board Navigation Device","2"
"2020","Personal Injury","QUEENS","Crashes With Human Factors","Other Human","."
"2020","Personal Injury","QUEENS","Crashes With Vehicular Factors","Accelerator Defective","12"
"2020","Personal Injury","QUEENS","Crashes With Vehicular Factors","Brakes Defective","79"
"2020","Personal Injury","QUEENS","Crashes With Vehicular Factors","Driverless/Runaway Vehicle","4"
"2020","Personal Injury","QUEENS","Crashes With Vehicular Factors","Headlights Defective","3"
"2020","Personal Injury","QUEENS","Crashes With Vehicular Factors","Other Lighting Defects","4"
"2020","Personal Injury","QUEENS","Crashes With Vehicular Factors","Oversized Vehicle","13"
"2020","Personal Injury","QUEENS","Crashes With Vehicular Factors","Steering Failure","36"
"2020","Personal Injury","QUEENS","Crashes With Vehicular Factors","Tinted Windows","6"
"2020","Personal Injury","QUEENS","Crashes With Vehicular Factors","Tire Failure/Inadequate","36"
"2020","Personal Injury","QUEENS","Crashes With Vehicular Factors","Tow Hitch Defective","."
"2020","Personal Injury","QUEENS","Crashes With Vehicular Factors","Windshield Inadequate","1"
"2020","Personal Injury","QUEENS","Crashes With Vehicular Factors","Other Vehicular","205"
"2020","Personal Injury","QUEENS","Crashes With Environmental Factors","Animal's Action","6"
"2020","Personal Injury","QUEENS","Crashes With Environmental Factors","Glare","54"
"2020","Personal Injury","QUEENS","Crashes With Environmental Factors","Lane Marking Improper/Inadequate","6"
"2020","Personal Injury","QUEENS","Crashes With Environmental Factors","Obstruction/Debris","36"
"2020","Personal Injury","QUEENS","Crashes With Environmental Factors","Pavement Defective","23"
"2020","Personal Injury","QUEENS","Crashes With Environmental Factors","Pavement Slippery","243"
"2020","Personal Injury","QUEENS","Crashes With Environmental Factors","Shoulders Defective/Improper","4"
"2020","Personal Injury","QUEENS","Crashes With Environmental Factors","Traffic Control Device Improper/Non-Working","16"
"2020","Personal Injury","QUEENS","Crashes With Environmental Factors","View Obstructed/Limited","202"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Aggressive Driving/Road Rage","22"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Alcohol Involvement","44"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Backing Unsafely","29"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Cell Phone (hand held)","6"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Cell Phone (hands-free)","."
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Driver Inattention/Distraction","597"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Driver Inexperience","82"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Drugs (Illegal)","13"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Eating or Drinking","2"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Failure to Keep Right","7"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Failure to Yield Right-of-Way","234"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Fatigued/Drowsy","12"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Fell Asleep","9"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Following Too Closely","186"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Illness","28"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Lost Consciousness","24"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Other Electronic Device","1"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Outside Car Distraction","10"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Passenger Distraction","4"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Passing/Lane Changing/Improper Use","127"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Pedestrian/Bicyclist Error/Confusion","66"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Physical Disability","4"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Prescription Medication","1"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Reaction to Other Uninvolved Vehicle","45"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Texting","."
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Traffic Control Device Disregarded","91"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Turning Improperly","60"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Unsafe Speed","136"
"2020","Personal Injury","RICHMOND","Crashes With Human Factors","Using On Board Navigation Device","."
"2020","Personal Injury","RICHMOND","Crashes With Vehicular Factors","Accelerator Defective","."
"2020","Personal Injury","RICHMOND","Crashes With Vehicular Factors","Brakes Defective","17"
"2020","Personal Injury","RICHMOND","Crashes With Vehicular Factors","Driverless/Runaway Vehicle","."
"2020","Personal Injury","RICHMOND","Crashes With Vehicular Factors","Headlights Defective","."
"2020","Personal Injury","RICHMOND","Crashes With Vehicular Factors","Other Lighting Defects","1"
"2020","Personal Injury","RICHMOND","Crashes With Vehicular Factors","Oversized Vehicle","3"
"2020","Personal Injury","RICHMOND","Crashes With Vehicular Factors","Steering Failure","6"
"2020","Personal Injury","RICHMOND","Crashes With Vehicular Factors","Tinted Windows","."
"2020","Personal Injury","RICHMOND","Crashes With Vehicular Factors","Tire Failure/Inadequate","1"
"2020","Personal Injury","RICHMOND","Crashes With Vehicular Factors","Tow Hitch Defective","."
"2020","Personal Injury","RICHMOND","Crashes With Vehicular Factors","Windshield Inadequate","."
"2020","Personal Injury","RICHMOND","Crashes With Vehicular Factors","Other Vehicular","33"
"2020","Personal Injury","RICHMOND","Crashes With Environmental Factors","Animal's Action","10"
"2020","Personal Injury","RICHMOND","Crashes With Environmental Factors","Glare","15"
"2020","Personal Injury","RICHMOND","Crashes With Environmental Factors","Lane Marking Improper/Inadequate","1"
"2020","Personal Injury","RICHMOND","Crashes With Environmental Factors","Obstruction/Debris","8"
"2020","Personal Injury","RICHMOND","Crashes With Environmental Factors","Pavement Defective","4"
"2020","Personal Injury","RICHMOND","Crashes With Environmental Factors","Pavement Slippery","52"
"2020","Personal Injury","RICHMOND","Crashes With Environmental Factors","Shoulders Defective/Improper","."
"2020","Personal Injury","RICHMOND","Crashes With Environmental Factors","Traffic Control Device Improper/Non-Working","2"
"2020","Personal Injury","RICHMOND","Crashes With Environmental Factors","View Obstructed/Limited","27"
"2020","Personal Injury","ROCKLAND","Crashes With Human Factors","Aggressive Driving/Road Rage","5"
"2020","Personal Injury","ROCKLAND","Crashes With Human Factors","Alcohol Involvement","60"
"2020","Personal Injury","ROCKLAND","Crashes With Human Factors","Backing Unsafely","20"
"2020","Personal Injury","ROCKLAND","Crashes With Human Factors","Cell Phone (hand held)","6"
